Тип жилья,Кол-во комнат,Станция метро,Время в пути,Этаж,Общая площадь комнат,Наличие ремонта,Год постройки,Срок сдачи,Тип дома,Цена
Вторичка,3-комн,Варшавская,5 мин. пешком,15,84,,2004,,Панельный,17 580 000 
Вторичка Апартаменты,3-комн,Красносельская,6 мин. пешком,2,"97,4",Без ремонта,,,,34 000 000 
Вторичка,5-комн,Чистые пруды,10 мин. пешком,3,279,Без ремонта,2008,,,185 887 321 
Вторичка,5-комн,Фрунзенская,13 мин. пешком,2,250,Без ремонта,2007,,Монолитный,260 000 000 
Вторичка,4-комн,Чистые пруды,10 мин. пешком,3,206,Без ремонта,2008,,,137 250 136 
Вторичка Пентхаус,Многокомнатная квартира,Калужская,4 мин. на транспорте,38,439,Без ремонта,2010,,Монолитный,79 000 000 
Вторичка,4-комн,Шаболовская,11 мин. на транспорте,3,130,Дизайнерский,2017,,Монолитный,66 000 000 
Вторичка,2-комн,Волгоградский проспект,10 мин. пешком,12,"81,4",Косметический,2002,,Монолитный,21 100 000 
Новостройка,1-комн,Фили,6 мин. пешком,2,"41,7",,,2020,Монолитный,10 842 000 
Вторичка,2-комн,Бульвар Дмитрия Донского,9 мин. на транспорте,19,"65,2",Евроремонт,2015,,Монолитный,8 650 000 
Вторичка,4-комн,Боровицкая,11 мин. пешком,9,120,Евроремонт,1933,,Кирпичный,58 000 000 
Вторичка,3-комн,Университет,,17,97,Без ремонта,2008,,Монолитный,39 925 005 
Вторичка,4-комн,Таганская,24 мин. пешком,8,133,Евроремонт,2002,,Монолитный,32 300 000 
Вторичка,2-комн,Бибирево,7 мин. на транспорте,8,53,Косметический,1982,,Панельный,7 700 000 
Вторичка,3-комн,Кунцевская,7 мин. пешком,3,129,Евроремонт,2001,,Монолитный,49 000 000 
Вторичка Апартаменты,3-комн,Лубянка,2 мин. пешком,2,130,Евроремонт,2015,,Монолитный,190 360 800 
Вторичка,4-комн,Комсомольская,2 мин. пешком,7,146,Евроремонт,,,,35 999 000 
Вторичка Апартаменты,5-комн,Выставочная,5 мин. пешком,24,225,Дизайнерский,,,,126 923 063 
Вторичка,2-комн,Парк Победы,12 мин. пешком,15,"153,5",Без ремонта,2006,,Монолитный,89 000 000 
Вторичка,3-комн,Рязанский проспект,10 мин. пешком,2,72,Косметический,1989,,Кирпичный,10 900 000 
Вторичка,3-комн,Красный Строитель,8 мин. пешком,6,"82,1",Евроремонт,2010,,Панельный,17 200 000 
Новостройка,1-комн,Академическая,10 мин. пешком,6,"44,68",,,2020,,14 390 000 
Вторичка,2-комн,Калужская,5 мин. на транспорте,23,"75,8",Евроремонт,2010,,Монолитный,21 900 000 
Вторичка,2-комн,Кропоткинская,6 мин. пешком,2,"106,9",Евроремонт,1912,,Кирпичный,74 200 000 
Вторичка,2-комн,Калужская,5 мин. на транспорте,5,44,Косметический,,,,9 500 000 
Новостройка,5-комн,Фили,6 мин. пешком,32,"166,9",,,2020,Монолитный,50 070 000 
Вторичка,2-комн,Шаболовская,9 мин. пешком,15,"80,6",Без ремонта,2017,,Монолитный,33 800 000 
Вторичка Пентхаус,Многокомнатная квартира,Проспект Вернадского,15 мин. пешком,40,"439,97",Без ремонта,2010,,Монолитный,79 000 000 
Вторичка,3-комн,Курская,7 мин. пешком,2,130,Евроремонт,2009,,Монолитный,81 800 000 
Вторичка,3-комн,Проспект Вернадского,10 мин. пешком,22,136,Дизайнерский,2010,,Монолитный,54 940 000 
